houseId;address
127270;Абзелиловский р-н Аскарово Мусы Муртазина 10
708046;Абзелиловский р-н Баимово Полевая 17/1
556571;Абзелиловский р-н Биккулово Центральная 5/3/А
59593;Абзелиловский р-н Геологоразведка Мусы Гареева 15
696562;Абзелиловский р-н Геологоразведка Мусы Гареева 26/3/5
59623;Абзелиловский р-н Геологоразведка Садовая 21
59553;Абзелиловский р-н Геологоразведка Строителей 19
550865;Абзелиловский р-н Гусево Комсомольская 41/1
716362;Абзелиловский р-н Давлетово Луговая 40
128638;Абзелиловский р-н Даутово 60 лет Победы 72
128646;Абзелиловский р-н Даутово 8 Марта 2
128687;Абзелиловский р-н Даутово 8 Марта 33
128688;Абзелиловский р-н Даутово Георгия Васева 30
128722;Абзелиловский р-н Даутово Нургали Фахретдинова 20
128658;Абзелиловский р-н Даутово Нургали Фахретдинова 21/1
128659;Абзелиловский р-н Даутово Нургали Фахретдинова 21/2
128628;Абзелиловский р-н Даутово Салавата Юлаева 25
128723;Абзелиловский р-н Даутово Центральная 47
128629;Абзелиловский р-н Даутово Центральная 5
128630;Абзелиловский р-н Даутово Центральная 70
128647;Абзелиловский р-н Даутово Центральная 71
128681;Абзелиловский р-н Даутово Центральная 8
128682;Абзелиловский р-н Даутово Школьная 3
548609;Абзелиловский р-н Зеленая Поляна Банное Набережная 7/1
143634;Абзелиловский р-н Зеленая Поляна Банное Очистные сооружения 1
323837;Абзелиловский р-н Зеленая Поляна Банное Победы 2
281219;Абзелиловский р-н Зеленая Поляна Бунгало 44
327642;Абзелиловский р-н Зеленая Поляна Гагарина 1/А
708013;Абзелиловский р-н Зеленая Поляна Гагарина 1/Б
696740;Абзелиловский р-н Зеленая Поляна Гагарина 16/А
696742;Абзелиловский р-н Зеленая Поляна Гагарина 16/Б
714320;Абзелиловский р-н Зеленая Поляна Горный воздух 65
143645;Абзелиловский р-н Зеленая Поляна ДОЦ Горное Ущелье 1
716448;Абзелиловский р-н Зеленая Поляна Дружбы 6/1/Б
